source_id,vlm_landuse,vlm_label,vlm_confidence,vlm_reason,gold_label
jamnagar_21.8079_70.5507,water,UNSURE,0.95,"The bounding box primarily covers a section of the river channel and associated riverbanks/vegetation within the water body, without any industrial structures like kilns or sheds.",INDUSTRIAL
jamnagar_21.9057_69.5718,cropland,AGRI_BURN,0.85,"Inside the red square, there are regular field patterns, vegetation, and plowed agricultural land consistent with the surrounding cropland rather than any industrial structure like a brick kiln or factory.",AGRI_BURN
jamnagar_21.9200_69.4236,cropland,AGRI_BURN,0.8,"The area inside the red box shows fenced agricultural fields and patchy vegetation similar to the surrounding cropland, without any visible industrial structures like a brick kiln.",AGRI_BURN
jamnagar_22.1186_70.3651,cropland,AGRI_BURN,0.95,"The red bounding box is centered over agricultural plots with defined boundaries characteristic of crop fields, and there are no industrial structures like brick kilns or sheds inside.",AGRI_BURN
jamnagar_22.3045_69.8924,cropland,AGRI_BURN,0.95,"The red bounding box clearly frames cultivated agricultural plots (cropland) characterized by rectangular field boundaries, crop rows, and varying green and brown vegetation patterns identical to the surrounding farmland.",AGRI_BURN
jamnagar_22.3213_69.8813,industrial,INDUSTRIAL,0.95,"The red square outlines an area that is part of a large industrial complex, surrounded by processing units, storage tanks, and industrial structures visible throughout the surrounding area.",INDUSTRIAL
jamnagar_22.3306_69.7450,industrial,INDUSTRIAL,0.95,"Laal chaukor ke andar industrial complex ya plant ki infrastructure jaise ki linear sheds, pipeline ya industrial structures dikh rahe hain, aur ye aaspas ke refinery area ka hi ek hissa hai.",INDUSTRIAL
jamnagar_22.3364_69.8674,industrial,INDUSTRIAL,0.98,"The area inside the red square contains heavy industrial infrastructure, complex processing units, piping networks, and industrial sheds characteristic of a refinery complex.",INDUSTRIAL
jamnagar_22.3785_69.6896,cropland,AGRI_BURN,0.95,"The red bounding box clearly shows agricultural fields with distinct green crop patches and tilled soil patterns, characteristic of cropland, with no industrial structures visible inside.",AGRI_BURN
jamnagar_22.4428_70.2296,cropland,AGRI_BURN,0.95,The red bounding box is centered on agricultural fields marked by regular rectangular parcel boundaries and crop cultivation patterns.,AGRI_BURN
jamnagar_22.5745_70.2283,industrial,INDUSTRIAL,0.95,"The red square outlines industrial manufacturing buildings with large sheds and factory structures, despite being surrounded by agricultural cropland.",INDUSTRIAL
jamnagar_22.7179_70.5874,cropland,AGRI_BURN,0.95,"Inside the red bounding box, there are clearly defined rectangular agricultural fields and boundary lines without any industrial structures, brick kilns, or urban features.",AGRI_BURN
jamnagar_22.8475_69.6958,industrial,INDUSTRIAL,0.95,"Laal chaukor ke andar ek bada factory shed aur uske paas paved yard dikh raha hai, jo industrial landuse ko darshata hai.",INDUSTRIAL
punjab_30.2100_75.7583,cropland,AGRI_BURN,0.95,"The area inside the red bounding box displays standard agricultural field patterns with straight field boundaries and cultivated crops, matching the typical characteristics of cropland.",AGRI_BURN
punjab_30.2860_76.0387,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar saaf taur par rectangular agricultural fields (khet) aur unki seedhi medh dikh rahi hain, koi industrial ya bhatta structure maujood nahi hai.",AGRI_BURN
punjab_30.3827_76.0553,cropland,AGRI_BURN,0.95,"The area inside the red bounding box displays regular agricultural field patterns with straight borders and vegetation consistent with surrounding crop fields, with no industrial structures or brick kilns visible inside the box.",AGRI_BURN
punjab_30.4175_75.2703,cropland,AGRI_BURN,0.85,"The bounding box contains agricultural fields with distinct rectangular boundaries and crop patterns, along with a few rural structures, but primarily represents cropland.",INDUSTRIAL
punjab_30.4880_76.1823,forest,FOREST_FIRE,0.95,"The red bounding box primarily encloses dense tree cover characteristic of a forest, bordered by a road and agricultural fields.",AGRI_BURN
punjab_30.5293_76.2689,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar agricultural fields (cropland) ke rectangular plots aur unki medh saaf dikh rahi hain, koi industrial ya brick kiln (bhatta) structure nahi hai.",AGRI_BURN
punjab_30.5681_76.2311,cropland,AGRI_BURN,0.95,"The area inside the red square consists of agricultural fields (cropland) characterized by rectangular field plots and boundaries, surrounded by other farmlands, with no industrial features like brick kilns, sheds, or chimneys visible inside the mark",INDUSTRIAL
punjab_30.6641_76.3296,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar sirf aayatakar khet, medh aur faslein hain. Koi industrial structure, bhatta, ya chimney nahi dikh rahi.",INDUSTRIAL
punjab_30.7827_75.7765,cropland,AGRI_BURN,0.95,"The area inside the red square shows standard agricultural field parcels with distinct boundaries and varying crop growth stages, characteristic of cropland.",AGRI_BURN
punjab_30.8183_75.4558,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar mukhyata khet (cropland) aur kuch chote rural buildings/houses dikh rahe hain, koi industrial bhatta ya structure nahi hai.",AGRI_BURN
punjab_30.8344_75.5595,cropland,AGRI_BURN,0.95,"The red box is located entirely within agricultural fields showing typical rectangular plot boundaries, crop patterns, and green vegetation without any industrial structures, brick kilns, or urban buildings inside.",INDUSTRIAL
